feature,score
last_trigram_encoded,0.1473577971208342
first_trigram_encoded,0.12424263057148366
num_double_letters,0.12046164093679002
has_double_letters,0.11966950828317469
vowel_ratio,0.11069500859078962
consonant_ratio,0.08236358985407133
syllable_ratio,0.07895338498058768
last_bigram_encoded,0.06705214083306021
vowel_position_variance,0.06260950616570282
char_entropy,0.05480412860974537
first_bigram_encoded,0.052278059255198794
char_freq_variance,0.04595979795483762
char_diversity,0.045661269447133446
num_vowels,0.0398124865702707
max_consonant_cluster,0.038032836470529574
max_vowel_cluster,0.02829731346600628
has_repeated_vowels,0.027443151448321768
syllable_count,0.01949318019995916
is_alternating,0.01853604058249969
word_length,0.017438834016130667
word_shape_complexity,0.017202543809355486
unique_vowels,0.014966710583411036
num_consonants,0.013118839365933166
unique_consonants,0.007961304297118943
last_char_encoded,0.007691275589874813
middle_char_encoded,0.006816690942253345
starts_with_vowel,0.00565489542360087
tfidf_4gram_12,0.0053251023576539325
middle_is_vowel,0.005081553450244414
tfidf_2gram_10,0.004993590815369764
tfidf_2gram_12,0.004811680624550618
tfidf_3gram_14,0.004762293148822039
tfidf_2gram_11,0.004339619308340925
tfidf_3gram_15,0.004066857608591157
tfidf_2gram_2,0.004040088927944385
ends_with_vowel,0.0032593077977698393
tfidf_2gram_17,0.003067117070402414
tfidf_2gram_4,0.003020653341988755
tfidf_3gram_8,0.0029842408142717325
tfidf_2gram_9,0.002908009341855422
tfidf_4gram_8,0.002903416939577852
tfidf_3gram_16,0.002697601171888664
last_bigram_common,0.0025610297263582993
tfidf_2gram_5,0.0023225567948821357
first_char_encoded,0.0022959891310141423
tfidf_3gram_11,0.0022901735092331066
tfidf_2gram_6,0.0022666073678863086
tfidf_4gram_3,0.00205417696927368
tfidf_4gram_0,0.001985074755196603
tfidf_4gram_1,0.001807145489623796
tfidf_4gram_10,0.0015790228142731344
tfidf_3gram_1,0.0015617359554576105
tfidf_2gram_8,0.0015255847242015008
tfidf_3gram_2,0.0014217586582652153
tfidf_4gram_2,0.0012076485915759605
tfidf_3gram_19,0.0009175865884527568
tfidf_4gram_4,0.0009061265985037537
tfidf_2gram_15,0.0008920645420000817
tfidf_2gram_19,0.0008075411480974459
tfidf_2gram_7,0.0007968660038186748
tfidf_3gram_9,0.0007841405529416257
tfidf_2gram_18,0.0007213116090967198
tfidf_2gram_1,0.0006472542504556422
tfidf_3gram_18,0.0005616618146300212
tfidf_3gram_3,0.0005539570022121687
tfidf_2gram_3,0.0004444830785312881
tfidf_3gram_12,0.00030115447937006934
tfidf_3gram_10,0.0002618696702008094
tfidf_2gram_16,6.20655552312499e-05
tfidf_3gram_17,0.0
tfidf_3gram_6,0.0
tfidf_4gram_13,0.0
tfidf_3gram_13,0.0
tfidf_4gram_11,0.0
tfidf_2gram_0,0.0
tfidf_4gram_9,0.0
tfidf_2gram_13,0.0
tfidf_4gram_7,0.0
tfidf_4gram_6,0.0
tfidf_4gram_5,0.0
tfidf_2gram_14,0.0
first_bigram_common,0.0
tfidf_3gram_0,0.0
tfidf_3gram_7,0.0
tfidf_3gram_4,0.0
tfidf_3gram_5,0.0
tfidf_4gram_14,0.0
